id;base_currency;target_currency;rate;last_updated;created_at
184739d1-82fd-4415-abdd-741338953fb1;USD;EUR;0.842800;2026-02-16 00:00:13.12198+00;2025-10-20 08:22:43.045275+00
7b436f5a-acdd-49f5-99ea-fbef6db72223;USD;USD;1.000000;2026-02-16 00:00:13.262445+00;2025-10-20 08:22:43.045275+00
