id;name;slug;is_active;sort_order;created_at;updated_at
5f622ff5-99af-42dc-af97-241eda89088e;Action RPG;action-rpg;true;2;2025-10-03 22:50:44.903031+00;2025-10-03 22:50:44.903031+00
f16d6b92-f309-49b7-b20e-964744752ce3;Shooters;shooters;true;3;2025-10-03 22:50:44.903031+00;2025-10-03 22:50:44.903031+00
8d1e6a29-7043-4557-bd11-6fc6e5dfd880;Other;other;true;5;2025-10-03 22:50:44.903031+00;2025-10-03 22:50:44.903031+00
f28c3106-5c28-4113-9af9-0d4bacf4eaf5;MMO;mmo;true;1;2025-10-03 22:50:44.903031+00;2025-10-03 22:53:11.965166+00
96ae5239-9099-485d-885f-7e7ca03b8237;Mobile;mobile;true;4;2025-10-03 22:50:44.903031+00;2025-10-05 21:49:33.865466+00
