code;name;native_name;locale;is_rtl;is_active;currency_format;date_format;formality;sort_order;created_at;updated_at
en;English;English;en_US;false;true;before;MM/DD/YYYY;neutral;0;2026-01-25 02:19:38.030291+00;2026-01-25 02:19:38.030291+00
de;German;Deutsch;de_DE;false;true;after;DD.MM.YYYY;informal;1;2026-01-25 02:19:38.030291+00;2026-01-25 02:19:38.030291+00
