id;product_id;g2g_url;price_unit;price_unit_label;markup_percentage;is_active;last_sync_at;last_g2g_price;last_our_price;last_sync_status;last_sync_error;sync_interval_hours;created_at;updated_at;sync_type;product_option_id;option_label;api_url;scrape_method;target_seller
dfb99f44-3a48-40e5-8451-4bdedcae6105;d4ad92b3-5ec2-410d-b983-17fc30265814;https://www.g2g.com/categories/final-fantasy-xiv-arr-gil-for-sale/offer/group?fa=lgc_6063_server%3Algc_6063_server_1372;100000;per 100K (100,000);25;true;2026-02-16 20:12:09.06+00;0.000388;0.000485;success;;24;2026-01-03 17:40:55.926044+00;2026-02-16 20:12:09.097718+00;product;;;;scrape;Babe
ed7aa8ee-ef74-4d8e-8374-939221d4c54c;49896428-e437-4281-8799-897d2697f22a;https://www.g2g.com/offer/TBC-Classic--Karazhan-Attunement-?service_id=lgc_service_18&brand_id=lgc_game_27816&region_id=ac3f85c1-7562-437e-b125-e89576b9a38e&offer_id=11716075;1;per 1 (unit);5;false;2026-02-16 10:32:27.424+00;99.99;104.9895;success;;24;2026-01-31 10:22:24.968243+00;2026-02-16 20:10:57.339013+00;product;;;;scrape;
38882174-073e-4eef-85c8-525f53299ab6;28707ecb-8107-41aa-bab3-a0c486577b96;https://www.g2g.com/categories/arc-raiders-coins/offer/group?fa=lgc_35181_platform%3Algc_35181_platform_54347;10000;per 10K (10,000);25;true;2026-02-16 20:11:56.364+00;0.01;0.0125;success;;24;2026-01-11 08:38:41.413127+00;2026-02-16 20:11:56.405314+00;product;;;;scrape;FastGetit
9713f243-afe6-4c88-be31-56a9e98b7c8c;dac47162-4fcb-4aef-b101-67b883c9b0d9;https://www.g2g.com/categories/path-of-exile-2-currency/offer/group?fa=lgc_27013_platform%3Algc_27013_platform_60343%7Clgc_27013_tier%3Algc_27013_tier_55005&q=jewe&sort=lowest_price;1000;per 1K (1,000);50;true;2026-02-16 20:11:57.386+00;0.007819;0.011729;success;;24;2026-01-07 10:36:23.887916+00;2026-02-16 20:11:57.423915+00;product;;;;scrape;
5772cba0-4bc1-4dd4-852f-3d2980d3c4f9;1d4f55f4-0c20-4203-8399-c080328d2221;https://www.g2g.com/categories/path-of-exile-2-currency/offer/group?fa=lgc_27013_platform%3Algc_27013_platform_60343%7Clgc_27013_tier%3Algc_27013_tier_54403&sort=lowest_price;1;per 1 (unit);20;true;2026-02-16 20:11:58.739+00;16.7851;20.14212;success;;24;2026-01-04 18:37:43.383513+00;2026-02-16 20:11:58.782564+00;product;;;;scrape;
53c14020-497f-4e70-8293-85b0d91f610d;44ba9ead-093b-4d81-bf68-22b0becd5f02;https://www.g2g.com/categories/path-of-exile-2-currency/offer/group?fa=lgc_27013_platform%3Algc_27013_platform_60343%7Clgc_27013_tier%3Algc_27013_tier_54401&sort=lowest_price;10000;per 10K (10,000);50;true;2026-02-16 20:11:59.747+00;0.000356;0.000534;success;;24;2026-01-03 18:58:20.731401+00;2026-02-16 20:11:59.800679+00;product;;;;scrape;
503334bc-3906-4a2a-b98f-dd78364ee604;ee234f4e-dba9-468d-971f-7ab933aef6c0;https://www.g2g.com/categories/path-of-exile-2-currency/offer/group?fa=lgc_27013_platform%3Algc_27013_platform_60343%7Clgc_27013_tier%3Algc_27013_tier_54400;1000;per 1K (1,000);30;true;2026-02-16 20:12:01.085+00;0.000048;0.000062;success;;24;2026-01-03 18:52:04.636249+00;2026-02-16 20:12:01.119522+00;product;;;;scrape;
92a44074-431e-433a-95f9-46fd3f3cc035;08587f4c-8dab-4f3f-af81-c17b2399f93a;https://www.g2g.com/categories/path-of-exile-2-currency/offer/group?fa=lgc_27013_platform%3Algc_27013_platform_60343%7Clgc_27013_tier%3Algc_27013_tier_54399&sort=lowest_price;100;per 100;35;true;2026-02-16 20:12:02.822+00;0.002277;0.003074;success;;24;2026-01-03 18:24:55.746427+00;2026-02-16 20:12:02.877905+00;product;;;;scrape;
9050fb69-8236-44f8-9ef8-7849dcff4209;92022507-dcc7-4067-9d6e-4ad094722070;https://www.g2g.com/categories/diablo-4-gold/offer/group?fa=lgc_26891_platform%3Algc_26891_platform_60341&sort=lowest_price;1000000;per 1M (1,000,000);35;true;2026-02-16 20:12:03.986+00;0.000088;0.000119;success;;24;2026-01-03 18:14:15.44652+00;2026-02-16 20:12:04.025207+00;product;;;;scrape;
0ad63b0a-6628-4dbf-9eea-cec0fc5d9bfe;6527407f-41c5-4fbc-8dbb-2adde1e61ccb;https://www.g2g.com/categories/wow-gold/offer/group?fa=lgc_2299_platform%3Algc_2299_platform_40339&region_id=dfced32f-2f0a-4df5-a218-1e068cfadffa;10000;per 10K (10,000);20;true;2026-02-16 20:12:06.121+00;0.048906;0.058687;success;;24;2026-01-03 17:57:52.5642+00;2026-02-16 20:12:06.192087+00;option;7686ef4b-2e2a-47bf-8a4b-27224ecd3d0c;NA;;scrape;
4674540a-227c-4f14-aeb0-6bb4a56afff6;6527407f-41c5-4fbc-8dbb-2adde1e61ccb;https://www.g2g.com/categories/wow-gold/offer/group?fa=lgc_2299_dropdown_17%3Algc_2299_dropdown_17_41959&region_id=ac3f85c1-7562-437e-b125-e89576b9a38e;10000;per 10K (10,000);20;true;2026-02-16 20:12:07.669+00;0.038291;0.045949;success;;24;2026-01-03 17:47:24.738916+00;2026-02-16 20:12:07.705909+00;option;7686ef4b-2e2a-47bf-8a4b-27224ecd3d0c;EU;;scrape;
2e7c469c-9d92-4b30-8e63-e8bdbd097da0;95ff4f94-2563-4b9e-8705-e3733f773863;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_platform%3Algc_27816_platform_54791&region_id=dfced32f-2f0a-4df5-a218-1e068cfadffa&sort=lowest_price;1000;per 1K (1,000);15;true;2026-02-16 20:11:29.517+00;0.048521;0.055799;success;;24;2026-01-29 19:19:29.168504+00;2026-02-16 20:11:29.563908+00;option;8daaebc3-f9a8-4d5a-9257-c01ff6c305ba;US Dreamscythe Horde;;scrape;
f6a03fdb-615f-4110-8757-9c3341674e5c;95ff4f94-2563-4b9e-8705-e3733f773863;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_platform%3Algc_27816_platform_54803&region_id=dfced32f-2f0a-4df5-a218-1e068cfadffa&q=mal&sort=lowest_price;1000;per 1K (1,000);15;true;2026-02-16 20:11:31.35+00;0.058455;0.067223;success;;24;2026-01-29 19:19:29.168504+00;2026-02-16 20:11:31.430087+00;option;8daaebc3-f9a8-4d5a-9257-c01ff6c305ba;OCE Maladath Horde;;scrape;
35c4979c-3eb0-4396-b682-864b76a60bd2;95ff4f94-2563-4b9e-8705-e3733f773863;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_dropdown_18%3Algc_27816_dropdown_18_54766&region_id=ac3f85c1-7562-437e-b125-e89576b9a38e&sort=lowest_price;1000;per 1K (1,000);15;true;2026-02-16 20:11:32.752+00;0.046477;0.053449;success;;24;2026-01-29 19:19:29.168504+00;2026-02-16 20:11:32.79267+00;option;8daaebc3-f9a8-4d5a-9257-c01ff6c305ba;EU Thunderstrike Alliance;;scrape;
c517995a-2099-499b-b0e1-ecd5f636825c;95ff4f94-2563-4b9e-8705-e3733f773863;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_platform%3Algc_27816_platform_54789&region_id=dfced32f-2f0a-4df5-a218-1e068cfadffa&sort=lowest_price;1000;per 1K (1,000);15;true;2026-02-16 20:11:35.764+00;0.056276;0.064717;success;;24;2026-01-29 19:19:29.168504+00;2026-02-16 20:11:35.802805+00;option;8daaebc3-f9a8-4d5a-9257-c01ff6c305ba;US Nightslayer Horde;;scrape;
46ab3cb0-2f39-4d0f-a307-efc4f9a8544c;95ff4f94-2563-4b9e-8705-e3733f773863;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_platform%3Algc_27816_platform_54804&region_id=dfced32f-2f0a-4df5-a218-1e068cfadffa&q=mal&sort=lowest_price;1000;per 1K (1,000);15;true;2026-02-16 20:11:37.991+00;0.054042;0.062148;success;;24;2026-01-29 19:19:29.168504+00;2026-02-16 20:11:38.047992+00;option;8daaebc3-f9a8-4d5a-9257-c01ff6c305ba;OCE Maladath Alliance;;scrape;
67b9576b-44ef-449f-a56b-47732db433b2;95ff4f94-2563-4b9e-8705-e3733f773863;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_dropdown_18%3Algc_27816_dropdown_18_54767&region_id=ac3f85c1-7562-437e-b125-e89576b9a38e&sort=lowest_price;1000;per 1K (1,000);15;true;2026-02-16 20:11:39.102+00;0.045862;0.052741;success;;24;2026-01-29 19:19:29.168504+00;2026-02-16 20:11:39.137703+00;option;8daaebc3-f9a8-4d5a-9257-c01ff6c305ba;EU Thunderstrike Horde;;scrape;
0895f969-6433-415b-ad38-13b0d2fa041a;95ff4f94-2563-4b9e-8705-e3733f773863;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_dropdown_18%3Algc_27816_dropdown_18_54764&region_id=ac3f85c1-7562-437e-b125-e89576b9a38e&sort=lowest_price;1000;per 1K (1,000);15;true;2026-02-16 20:11:40.162+00;0.042214;0.048546;success;;24;2026-01-29 19:19:29.168504+00;2026-02-16 20:11:40.195768+00;option;8daaebc3-f9a8-4d5a-9257-c01ff6c305ba;EU Spineshatter Alliance ;;scrape;
11f068a8-5b92-4f11-990a-8da981be54a6;bcf886c7-0731-4ff9-9fd0-98d38ff491e4;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_dropdown_18%3Algc_27816_dropdown_18_41668&region_id=ac3f85c1-7562-437e-b125-e89576b9a38e&q=mirage&sort=lowest_price;1000;per 1K (1,000);20;true;2026-02-16 20:11:48.425+00;0.017139;0.020567;success;;24;2026-01-17 23:55:10.413109+00;2026-02-16 20:11:48.46184+00;option;deb6bbc6-9a48-456a-9248-5ffdd42ac0e2;EU Mirage Raceway Cluster;;scrape;
c0ec0716-6595-4d46-9c0b-18c1c3601d35;bcf886c7-0731-4ff9-9fd0-98d38ff491e4;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_platform%3Algc_27816_platform_39942&region_id=dfced32f-2f0a-4df5-a218-1e068cfadffa&q=mank&sort=lowest_price;1000;per 1K (1,000);20;true;2026-02-16 20:11:50.034+00;0.011151;0.013381;success;;24;2026-01-17 23:55:10.413109+00;2026-02-16 20:11:50.066601+00;option;deb6bbc6-9a48-456a-9248-5ffdd42ac0e2;NA Mankrik Cluster;;scrape;
0a17953d-5890-4503-ae00-0f2491cead4f;bcf886c7-0731-4ff9-9fd0-98d38ff491e4;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_platform%3Algc_27816_platform_39929&region_id=dfced32f-2f0a-4df5-a218-1e068cfadffa&q=herod&sort=lowest_price;1000;per 1K (1,000);20;true;2026-02-16 20:11:51.753+00;0.012418;0.014902;success;;24;2026-01-17 23:55:10.413109+00;2026-02-16 20:11:51.79906+00;option;deb6bbc6-9a48-456a-9248-5ffdd42ac0e2;NA Herod Cluster;;scrape;
f7a44c82-8abe-4d43-894b-16f1cdc4e4e9;bcf886c7-0731-4ff9-9fd0-98d38ff491e4;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_platform%3Algc_27816_platform_39899&region_id=dfced32f-2f0a-4df5-a218-1e068cfadffa&q=arug&sort=lowest_price;1000;per 1K (1,000);20;true;2026-02-16 20:11:53.258+00;0.053062;0.063674;success;;24;2026-01-17 23:55:10.413109+00;2026-02-16 20:11:53.312629+00;option;deb6bbc6-9a48-456a-9248-5ffdd42ac0e2;NA Arugal Cluster;;scrape;
3af5a96a-eeea-4bed-8688-2bda2ef18607;bcf886c7-0731-4ff9-9fd0-98d38ff491e4;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_platform%3Algc_27816_platform_39903&region_id=dfced32f-2f0a-4df5-a218-1e068cfadffa&q=atiesh&sort=lowest_price;1000;per 1K (1,000);20;true;2026-02-16 20:11:55.333+00;0.032145;0.038574;success;;24;2026-01-17 23:55:10.413109+00;2026-02-16 20:11:55.370478+00;option;deb6bbc6-9a48-456a-9248-5ffdd42ac0e2;NA Atiesh Cluster;;scrape;
e049d846-d38c-425e-8432-622352278f7c;bcf886c7-0731-4ff9-9fd0-98d38ff491e4;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_dropdown_18%3Algc_27816_dropdown_18_41652&region_id=ac3f85c1-7562-437e-b125-e89576b9a38e&q=geh&sort=recommended_v2;1000;per 1K (1,000);20;true;2026-02-16 20:11:45.098+00;0.156428;0.187714;success;;24;2026-01-17 23:55:10.413109+00;2026-02-16 20:11:45.142986+00;option;deb6bbc6-9a48-456a-9248-5ffdd42ac0e2;EU Gehennas Cluster;;scrape;
c2121502-fe79-41e3-95b5-6997f0b9ce0a;bcf886c7-0731-4ff9-9fd0-98d38ff491e4;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_dropdown_18%3Algc_27816_dropdown_18_41646&region_id=ac3f85c1-7562-437e-b125-e89576b9a38e&q=firemaw&sort=recommended_v2;1000;per 1K (1,000);20;true;2026-02-16 20:11:47.231+00;0.006634;0.007961;success;;24;2026-01-17 23:55:10.413109+00;2026-02-16 20:11:47.272703+00;option;deb6bbc6-9a48-456a-9248-5ffdd42ac0e2;EU Firemaw Cluster;;scrape;
cec79063-d154-459f-89e2-c84dbec726a9;bcf886c7-0731-4ff9-9fd0-98d38ff491e4;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_platform%3Algc_27816_platform_39971&region_id=dfced32f-2f0a-4df5-a218-1e068cfadffa&q=white&sort=lowest_price;1000;per 1K (1,000);20;true;2026-02-16 20:11:46.074+00;0.006195;0.007434;success;;24;2026-01-17 23:55:10.413109+00;2026-02-16 20:11:46.10611+00;option;deb6bbc6-9a48-456a-9248-5ffdd42ac0e2;NA Whitemane Cluster;;scrape;
e3bf677d-1feb-4f65-9cef-37a7d5324afc;95ff4f94-2563-4b9e-8705-e3733f773863;https://www.g2g.com/categories/wow-classic-era-vanilla-gold/offer/group?fa=lgc_27816_dropdown_18%3Algc_27816_dropdown_18_54765&region_id=ac3f85c1-7562-437e-b125-e89576b9a38e&sort=lowest_price;1000;per 1K (1,000);15;true;2026-02-16 20:11:41.672+00;0.043039;0.049495;success;;24;2026-01-29 19:19:29.168504+00;2026-02-16 20:11:41.709308+00;option;8daaebc3-f9a8-4d5a-9257-c01ff6c305ba;EU Spineshatter Horde;;scrape;
